,source,target,edge
5914,ClinicalTrials.gov,data,processed
5915,ClinicalTrials.gov,data,processed
5916,studies,impact,described
5917,Primary objective Collect,health centres,atassociated
5918,collected dataset,comprehensive characterization,allow
5919,developed structure,rapid assessment,allow
5920,Patients Case eligibility criteria,individuals,included
5921,data,registry,entered at
5922,outcomes,perinatal neonatal events,include
5923,definitions,international criteria,follow
5924,Age,34,range
5925,HT Pulmonary,Chronic Pulmonary Disease,comorbidities
5926,Asthma Hematologic,Chronic Blood Disease,comorbidities
5927,Objective s,prevalence,Determine
5928,selection,distribution,follow
5929,patient,consent,sign
5930,data,personally identifiable information,contain
5931,ClinicalTrials.gov,data,processed
5932,ClinicalTrials.gov,data,processed
5933,approximately 80%,cell phone,reported
5934,ClinicalTrials.gov,data,processed
5935,ClinicalTrials.gov,data,processed
5936,Acute Respiratory Distress Syndrome,hallmark,reflects
5937,Previous studies,shownthat,have
5938,Blood samples,breath particles,exhaled
5939,ClinicalTrials.gov,data,processed
5940,ClinicalTrials.gov,data,processed
5941,Immune mediated lung injury,pivotal role,plays
5942,Tofacitinib,alveolar inflammation byblocking IL-6 signal,mitigate
5943,Inclusion Criteria:-SARS CoV2 Infection,interstitial pneumonia Hospital admission,confirmed
5944,ClinicalTrials.gov,data,processed
5945,ClinicalTrials.gov,data,processed
5946,Pneumonia,intensive care unit,casesin
5947,ClinicalTrials.gov,Exclusion Criteria:-patients data,processed
5948,Efficacy,the 28 days,assessedduring
5949,ClinicalTrials.gov,data,processed
5950,pandemic,manner,altered
5951,ClinicalTrials.gov,data,processed
5952,Dialysis centers,major organizational challenges,face
5953,ClinicalTrials.gov,data,processed
5954,ClinicalTrials.gov,data,processed
5955,Pneumonia,acute respiratory failure,causing
5956,ClinicalTrials.gov,data,processed
5957,Common effects,nausea,include
5958,ClinicalTrials.gov,data,processed
5959,ClinicalTrials.gov,data,processed
5960,public order,daily structure,Closing ofschools
5961,study,differences insubgroups,evaluates
5962,Children and/or parents,onlinequestionnaires,receive
5963,ClinicalTrials.gov,data,processed
5964,total,students,include
5965,ClinicalTrials.gov,data,processed
5966,ClinicalTrials.gov,data,processed
5967,ClinicalTrials.gov,data,processed
5968,ClinicalTrials.gov,data,processed
5969,preliminary uncontrolled study,effect,evaluated
5970,Incomparison,a positive RT-PCR,had
5971,ClinicalTrials.gov,data,processed
5972,ClinicalTrials.gov,data,processed
5973,participant,total,willreceive
5974,Criteria,1,include
5975,ClinicalTrials.gov,data,processed
5976,patient,series,receive
5977,patient,infusion,receive
5978,ClinicalTrials.gov,data,processed
5979,77.1%,fever,had
5980,study,efficacy,determine
5981,subject,inclusion criteria,fulfill
5982,Fever,≥,documented
5983,Subjects,medical treatment,allowed in
5984,Investigator,patients,exclude
5985,Known hypersensitivity,proteins.4,derived
5986,anti - HIV drugs,target effects,have
5987,ClinicalTrials.gov,data,processed
5988,ClinicalTrials.gov,data,processed
5989,ClinicalTrials.gov,data,processed
5990,ClinicalTrials.gov,data,processed
5991,Bats,typical coronavirus hosts,serveas
5992,ClinicalTrials.gov,data,processed
5993,Participants,POCUS,undergo
5994,ClinicalTrials.gov,data,processed
5995,Theprotocol,rapid test,included
5996,assessment,important rolein,plays
5997,query,assignment,allows
5998,primary goal,preliminary evaluation,provide
5999,Inclusion Criteria:-Employees,voluntary request,described
6000,ClinicalTrials.gov,data,processed
6001,novel coronavirus disease,challenge,posing
6002,Inclusion Criteria:-Patients,Hospital,hospitalized
6003,ClinicalTrials.gov,data,processed
6004,Subjects,dose combination,beassigned
6005,ClinicalTrials.gov,data,processed
6006,ClinicalTrials.gov,data,processed
6007,"Efficacy, Safety",Symptomatic SARS CoV-2 Infection,the Prevention of Incident Confirmed
6008,ClinicalTrials.gov,data,processed
6009,patients,decrease,showed
6010,dose escalation,32healthy volunteers,include
6011,Post- menopause subjects,at least 12 months,had
6012,ClinicalTrials.gov,data,processed
6013,Participants,research assistant questions,ask
6014,WeeklyCOVID-19 informational SMS,moderated discussion focus,inform
6015,WelTel staff hasalready,training,conducted
6016,participants,RANAS informed questionnaire,willcomplete
6017,ClinicalTrials.gov,data,processed
6018,investigators,data,collect
6019,ClinicalTrials.gov,data,processed
6020,recent study,positivity,identified
6021,Motta al,11 cases ofsymptomatic infection,reported
6022,METHODS Serological test,high sensitivity,has
6023,transfusion dependent patients,95 % confidence intervals,respective
6024,ClinicalTrials.gov,data,processed
6025,ClinicalTrials.gov,data,processed
6026,Phase II interventional study,last24 weeks,will
6027,ClinicalTrials.gov,data,processed
6028,ClinicalTrials.gov,data,processed
6029,ClinicalTrials.gov,data,processed
6030,ClinicalTrials.gov,data,processed
6031,Guidelines,controlled oxygen,recommend
6032,Guidelines,controlled oxygen,recommend
6033,ClinicalTrials.gov,data,processed
6034,Patients,BEVA Trial,CORIMUNO-19-
6035,ClinicalTrials.gov,data,processed
6036,andto,early severity factors,identify
6037,ClinicalTrials.gov,data,processed
6038,ClinicalTrials.gov,data,processed
6039,therapy-COVID-19 related Acute Respiratory Distress Syndrome,mechanical ventilationExclusion Criteria:-Pregnant woman Uncontrolled sepsis,requiring
6040,ClinicalTrials.gov,data,processed
6041,Inclusion,Informed Consent,Criteria:-signed
6042,ClinicalTrials.gov,data,processed
6043,-33%,gastrointestinal symptoms,developed
6044,Around 2-33%,gastrointestinal symptoms,developed
6045,ClinicalTrials.gov,data,processed
6046,epidemic,major therapeutic challenge,represents
6047,ClinicalTrials.gov,data,processed
6048,threeparticipants,treatment,received
6049,ClinicalTrials.gov,data,processed
6050,Study,pregnant womencohort,included
6051,Study,39 pregnant women,included
6052,"Inclusion Criteria:-Spontaneous pregnancy,-Singleton",SARS CoV-2 positivity,diagnosed
6053,ClinicalTrials.gov,data,processed
6054,Klinikum Graz,Graz,A-8036
6055,ClinicalTrials.gov,data,processed
6056,ClinicalTrials.gov,data,processed
6057,COVID-19,chronic cardiovascular consequences,determine
6058,COVID-19,chronic cardiovascular consequences,determine
6059,ClinicalTrials.gov,data,processed
6060,patient,60 years of age or older,possess
6061,Patient,colchicine,taking
6062,Patient and/or legal representative,informed consent form,signed
6063,ClinicalTrials.gov,data,processed
6064,Subjects,medications(excluding antiviral drugs,receive
6065,） Male,between 18 and 75,aged
6066,subjects,lung volume reduction surgery,had
6067,whichmay,participation,affect
6068,ClinicalTrials.gov,data,processed
6069,ClinicalTrials.gov,data,processed
6070,sudden onset,5 8 days,maydevelop
6071,thevirus,"3,349,786 patients",infected
6072,ClinicalTrials.gov,data,processed
6073,ng/ml,greater risk,had
6074,Previous data fromthe Hellenic Sepsis Study Group,high prognostic utility ofadmission suPAR,shows
6075,ClinicalTrials.gov,data,processed
6076,infection rate,withchemotherapy,be
6077,ClinicalTrials.gov,data,processed
6078,investigators,data includingdemographics,collect
6079,ClinicalTrials.gov,data,processed
6080,pandemic,unprecedented social economic andmental health challenges,brought about
6081,ClinicalTrials.gov,data,processed
6082,Participants,Follow phase,enter
6083,Children,Follow phase,enter
6084,ClinicalTrials.gov,data,processed
6085,publications,increase,demonstrate
6086,published data,low benefit,suggest
6087,ClinicalTrials.gov,published data,processed
6088,participants,written informed consent,sign
6089,ClinicalTrials.gov,data,processed
6090,ICU COVID-19 patients,high risk,show
6091,Highdoses,high efficacy,shown
6092,Inclusion Criteria:-Patient,written Informed Consent.-Age,provided
6093,ClinicalTrials.gov,data,processed
6094,ClinicalTrials.gov,data,processed
6095,data,significantincrease,shows
6096,lines,inflammatorydrugs,testing
6097,ClinicalTrials.gov,data,processed
6098,Prospective Observational Study,Increased Risk,Evaluating
6099,Theexaminator,filtering face pieces,wear
6100,monitoringperiod,maximum duration,have
6101,Previous clinical picture,positive response,defined
6102,ClinicalTrials.gov,data,processed
6103,ClinicalTrials.gov,data,processed
6104,ClinicalTrials.gov,Routineclinical laboratory data,processed
6105,ClinicalTrials.gov,data,processed
6106,LUS scoring,experienced anaesthesia,performed by
6107,ClinicalTrials.gov,data,processed
6108,ClinicalTrials.gov,data,processed
6109,ClinicalTrials.gov,data,processed
6110,Cohort Study,Tracheostomy,Undergoing
6111,ENT UK,guidance regardingsurgical tracheostomy,issued
6112,COVIDTrach,surgical intensive care,brought
6113,Thiswill,unique comprehensive assessment,provide
6114,Thiswill,foundation,lay
6115,ClinicalTrials.gov,data,processed
6116,Prospective Randomized Double Masked Placebo Controlled Trial,preliminary safetyand efficacy,evaluate
6117,severity,severity,defines
6118,Effective contraception,surgical sterilization,includes
6119,ClinicalTrials.gov,data,processed
6120,The bacillus Calmette Guérin,potential,has
6121,ClinicalTrials.gov,data,processed
6122,ClinicalTrials.gov,data,processed
6123,Rapid dissemination,mitigatemortality,help
6124,points,therationale,provide
6125,points,rationale,provide
6126,ClinicalTrials.gov,data,processed
6127,The WHO,disease,named
6128,patients,nasal congestion,mayexhibit
6129,ClinicalTrials.gov,data,processed
6130,ClinicalTrials.gov,data,processed
6131,Personal behaviours,video cameras,recordedusing
6132,ClinicalTrials.gov,data,processed
6133,Epidemic Response Study,diagnostic reliability,evaluate
6134,ClinicalTrials.gov,data,processed
6135,ClinicalTrials.gov,data,processed
6136,Patient,acute respiratory distress syndrome,have
6137,Patient,life expectancy,have
6138,Patient,platelet count,have
6139,Patient,known hypersensitivity,has
6140,ClinicalTrials.gov,data,processed
6141,ClinicalTrials.gov,data,processed
6142,Assessments,theviral detection,include
6143,Pregnant women,positive,testing
6144,ClinicalTrials.gov,data,processed
6145,Humanity,new pandemic,experiencing
6146,ClinicalTrials.gov,data,processed
6147,ClinicalTrials.gov,data,processed
6148,investigators,occurrence,fear
6149,ClinicalTrials.gov,data,processed
6150,studies,coagulopathy disorders,reportedassociated
6151,Pandemic,impacts,had
6152,Patients,consent,give
6153,Chi Square test,patients,include
6154,Exclusion Criteria:-Patients,consent,excluded
6155,ClinicalTrials.gov,data,processed
6156,ClinicalTrials.gov,data,processed
6157,medical drugs,respiratory,receive
6158,ClinicalTrials.gov,data,processed
6159,current COVID-19 pandemic,biggest medicalchallenge,represents
6160,Blood Pressure Endothelium Interaction Study,contact,suspected
6161,PCR,Blood Pressure Endothelium Interaction Study,suspected
6162,ClinicalTrials.gov,data,processed
6163,ClinicalTrials.gov,data,processed
6164,ClinicalTrials.gov,data,processed
6165,ClinicalTrials.gov,data,processed
6166,patient,hospitalization,require
6167,ClinicalTrials.gov,data,processed
6168,The QPlus Cartridge,measurehypocoagulable hypercoagulable conditions,can
6169,ClinicalTrials.gov,data,processed
6170,ClinicalTrials.gov,data,processed
6171,Recent publications,attention,drawn
6172,eight had symptoms of lowerrespiratory tract infection,symptoms,were
6173,interim,use,approved
6174,ClinicalTrials.gov,data,processed
6175,Sub pleural bilateral ground glasspattern,positivity,precede
6176,Previous studies,Previous studies interest,suggest
6177,Adults patients,emergency department,consulting
6178,ClinicalTrials.gov,data,processed
6179,interruption,organization,required
6180,ClinicalTrials.gov,data,processed
6181,patient,approved standard,get
6182,ClinicalTrials.gov,data,processed
6183,patients,treatment,willcomplete
6184,QT,480 msec,prolongation
6185,ClinicalTrials.gov,data,processed
6186,isan,risk,is
6187,healthy people,severe disease fromthe SARS CoV-2 infection,developed
6188,ClinicalTrials.gov,data,processed
6189,participantswill,questionnaire,submit
6190,ClinicalTrials.gov,data,processed
6191,patients,favorable survival outcome,had
6192,ClinicalTrials.gov,data,processed
6193,viral pneumonia,inWuhan,broke out
6194,2019,new coronavirus,is
6195,COVID-19,threat,pose
6196,Subject,total 5x10 ^ 6 cells,receive
6197,Inclusion Criteria:-Laboratory,Covid-19 infection,confirmed
6198,ClinicalTrials.gov,data,processed
6199,severe acute respiratory syndrome,worldwide pandemic,beendeclared
6200,ClinicalTrials.gov,data,processed
6201,Postmortemassessment,pathologic findings consistent withMAS,demonstrated
6202,preliminary data,immunologic link,suggest
6203,Subjects,NYHA Class III IV heart failure,excluded
6204,ClinicalTrials.gov,data,processed
6205,laboratory,Sars Cov-2 cases,confirmed
6206,ClinicalTrials.gov,data,processed
6207,ClinicalTrials.gov,data,processed
6208,single site observational prospective cohort study,safety,assess
6209,Bleeding disorder,contraindication,considered
6210,ClinicalTrials.gov,data,processed
6211,interventional clinical study,400 Adult,includes
6212,ClinicalTrials.gov,data,processed
6213,Purpose,18 and above,volunteersaged
6214,ClinicalTrials.gov,data,processed
6215,Males,≥18,aged
6216,subject,contraindications,postponed for
6217,ClinicalTrials.gov,data,processed
6218,COVID-19,healthcare system,affected
6219,affected people,dry cough,experience
6220,Adults,65 years old.9,aged
6221,ClinicalTrials.gov,data,processed
6222,ClinicalTrials.gov,data,processed
6223,pro - apoptotic caspasesand,PARP-1,estimated by
6224,LC,protective agent,serveas
6225,ClinicalTrials.gov,data,processed
6226,Patients,therapy,received
6227,Patients,therapy,received
6228,Clinical assessments,categoryordinal scale,included
6229,Secondary endpoints,change,comprised
6230,ClinicalTrials.gov,data,processed
6231,Study,pMDI,Delivered
6232,ClinicalTrials.gov,data,processed
6233,Novel Coronavirus,Severe Pneumonia,Induced
6234,Evaluation,severe pneumonia,induced
6235,Known,persons;-4,infected
6236,ClinicalTrials.gov,data,processed
6237,ClinicalTrials.gov,data,processed
6238,Biophytis,BIO101,developing
